caption,Jensen-Shannon Divergence
a person drives around a futuristic looking vehicle while a man approaches her and a crowd watches .,2.1165055361657234e-06
a brown dog running on a lawn near a garden hose,0.46450140309718757
a child in a dress runs through the yard with a miniature orange soccer ball in her hand .,0.3796893934224146
a woman sleeps under a blue and white blanket in a car .,2.1165055361657234e-06
a man is kneeling down with a child on a beach where bright blue and red boats are stationed in the background .,2.1165055361657234e-06
men playing volleyball in the sand .,2.1165055361657234e-06
a little boy playing in the water .,2.1165055361657234e-06
a blond dog and a black and white dog run in a dirt field .,0.36373633908978487
a person dressed in a tan jacket jumps a quad over a harvested cornfield in front of a small out building .,0.4509923777885705
girl wearing blue shirt and black shorts plays trumped outside .,0.5429402529803395
kids play around a statue bust outside .,0.4509923777885705
a woman is drinking a beverage in a busy cafe .,2.1165055361657234e-06
"three children are playing outdoors , two of them on a metal barrel swing .",0.4509923777885705
two children swing in dusty rooftop from a swing made from a steel drum .,0.5990057491490158
"person leaning against the wall , next to a life size cartoon cut out .",0.4747673455947834
two swimmers race in a pool with a red line between them .,0.36373633908978487
an older couple passes by a young lady on the sidewalk .,2.1165055361657234e-06
three children are practicing martial arts in a gym .,2.1165055361657234e-06
a lady with short hair wearing a black jacket leaned against a lamp post outside a building .,2.1165055361657234e-06
a man perched on a row of aquariums is using a net to scoop a fish from another aquarium .,0.30919668259265304
a dark-haired man is speaking into a microphone while another man is sitting beside him .,0.4747673455947834
people pass each other on a busy city street while talking on their cellphones .,2.1165055361657234e-06
person with two ski poles skiing down a snowy hill .,2.1165055361657234e-06
"a man in a blue swimsuit and a red beanie kneels in the wet sand on the edge of a beach , making a sand castle that is as tall as he is when he is kneeling .",2.1165055361657234e-06
a black dog runs on green grass with its mouth open .,0.11984403014938547
decorated limo passing by elderly woman waiting on park bench in chinese street .,2.1165055361657234e-06
three people in various stages of swimming strokes race along colorful lane markers .,2.1165055361657234e-06
one dog is jumping at the lady while the other walks away .,0.6424372740812077
a motorcyclist on a red speed bike leans into a sharp turn .,2.1165055361657234e-06
a man is sitting on the street playing drums on buckets .,2.1165055361657234e-06
a lively adult karate practice at the dojo .,2.1165055361657234e-06
a red dog jumps to catch a tennis ball in the dry tall grass .,2.1165055361657234e-06
the brown dog catches a ball in the air .,0.6516023040122275
the little girl swings in the backyard .,0.3091966825883714
"four young adults sit outside on a wooden deck near a building around a small round table , while another person stands on the edge of the deck , leaning on the wooden railing , with the sun shining on one of them and the rest of them are in the shade , two of them crossing their legs , one holding a cellphone out in front of himself and another holding a green and red soda can .",0.5429402529803395
a woman is having her foot examined by another woman in a run-down building .,0.8325546103252176
a woman is holding a baby while another child stands by her side .,0.6516023037296733
a gray dog is jumping toward a black and white dog in the snow .,0.8325546098849307
a black and white dog runs beside a brown dog in a green field .,0.36373633908978487
a dark-haired dark-skinned child sleeps in a chair while holding a blue zippered pack .,0.3796893934224146
a man in a black shirt sitting next to a older women in a pink jacket on a train .,0.3091966825883714
a man grilling outside his house .,2.1165055361657234e-06
a person wearing a construction uniform is leaning against a traffic light pole on the sidewalk .,2.1165055361657234e-06
a man is rowing a canoe on a lake .,2.1165055361657234e-06
a man in red shirt wearing sunglasses is leaning on the wall,0.8325546099361182
a handicapped person with one leg skiing down a mountain with other mountains in the background .,2.1165055361657234e-06
a woman is selling vegetables on the street .,2.1165055361657234e-06
two people are jumping on the side of a road with snow in the background .,2.1165055361657234e-06
street vendors are selling fruits and vegetables in a stand and in large baskets on the ground .,0.46450140349657476
a man rows his boat below .,2.1165055361657234e-06
a terrier mix catches a frisbee in the air .,0.6424372742994602
"a man in a white polo shirt speaks into a microphone with a sign behind him that reads, truth !",0.7028268976786316
two young people riding skateboards pass by in the street as a black dog on a red leash stops in a doorway and squats down on the sidewalk .,2.1165055361657234e-06
crowd waiting on main street subway platform for a train .,0.11984403014938547
four women are on stage singing .,0.3091966825883714
two men drink beer at the bar in a restaurant .,2.1165055361657234e-06
two women in white lab coats examine a dyed area on a cluster of cells using a projector .,2.1165055361657234e-06
two rows of dance students are practicing ballet moves against a pole in a studio .,2.1165055361657234e-06
white and black dog jumping over red-haired dog in grass .,0.4645014034965748
a smiling child wearing a hat and sunglasses sits in a car .,0.3091966825883714
a woman is using a ruler at a desk to mark a sheet of paper .,0.4509923777885705
two dogs are catching blue frisbees in grass .,2.1165055361657234e-06
a man is singing at a concert .,0.11984403014938547
three young women and one young man singing in an auditorium .,0.4509923777885705
a group of men in golden shirts singing in front of a microphone .,0.3091966825883714
"a man wearing jeans , polo shirt and a baseball cap , fork in hand , is grilling meat outside in a fenced yard .",0.3091966825883714
vendors sell products at a farmers market .,0.3995326741745401
people examine books in a library .,2.1165055361657234e-06
a woman sits on a shoe store 's bench while putting a shoe onto her right foot .,0.36373633908978487
"several people in the mid-ground sit on a bench along the side of a white building , while three people stand in a courtyard in front of the building .",0.5990057493843096
two girls are in a sack race .,0.46210834373091597
an orchestra of about <number> people are practicing on the stage of what appears to be an auditorium full of green chairs .,0.4645014034965748
the man in the red shirt and flowery tie is sitting on a bus by the window .,0.3091966825883714
muzzled greyhounds are racing on the track .,2.1165055361657234e-06
little girl skis on slope .,2.1165055361657234e-06
"two girls , both dressed in pink , swinging on sunlight day with the nearby trees casting random shadows on the remainder of the park like setting .",0.3091966825883714
"in a restaurant , a teenager drinks directly out of the metal milkshake serving cup .",2.1165055361657234e-06
a man is enjoying meal and drink inside a restaurant .,2.1165055361657234e-06
a man drives a truck while a child sits on his lap and steers .,0.3091966825883714
an asian man sells a hot confection from his stand in a crowded market .,0.46450140349657476
a man singing in a very colorful environment .,0.6167622431203059
people are rowing a boat in the water .,2.1165055361657234e-06
a man sleeps while listening to his ipod in the back of a vehicle .,0.3091966825883714
a greyhound races on the dirt .,0.46450140309718757
a man and a woman are examining produce at a market .,0.3995326741745401
a man in a yellow jacket is skiing in the snow .,2.1165055361657234e-06
a man driving a small golf cart down a street with a crowd watching him on either side of the street .,2.1165055361657234e-06
group of women doing a presentation off an easel .,0.5990057493843096
two dogs are nose to nose while a third dog stands next to them .,0.4747673455947834
man with gray hair wearing a suit is waiting in a subway tunnel .,0.4645014030971875
two men on motorcycles are driving down an empty street .,2.1165055361657234e-06
a runner in black is passing an outdoor florist shop .,2.1165055361657234e-06
"a crowd waits outside a subway train , ready to board .",0.11984403014938547
brown dog catches a pink ball in the park .,0.36373633908978487
two people on the subway are sleeping in the corner .,2.1165055361657234e-06
two guys are rowing a canoe on a lake .,2.1165055361657234e-06
"a man driving a small , open vehicle with a green sign on the back of it in traffic .",2.1165055361657234e-06
three women and a man are drinking beer at a table .,0.4509923777885705
a man wearing yellow swimming trunks kneeling by the ocean,2.1165055361657234e-06
a man with red pants is skiing downhill .,2.1165055361657234e-06
a spotted dog catching a ball on a snowy field .,0.3091966825883714
a chef speaks into a microphone about a mixed salad contained in a bowl with a decorative lid .,0.6516023042984608
a woman is laying down on a sofa laughing .,0.3091966825883714
three women speak to each other in a room with tan walls .,0.462108343730916
stage dancers practicing their dance routines .,0.3091966825883714
two furry light brown dogs lying on a hardwood floor .,0.3091966825883714
a dog wearing a t-shirt is lying down .,0.4645014030971875
a man is giving a presentation in front of three people .,0.3091966825883714
all these people are enjoying a basement dance party .,0.47476734598536796
a young boy wearing a dark blue hat sleeps on a bench at a terminal .,0.36373633908978487
an old woman is selling produce at a farmer 's market .,0.30041017271004644
"a ruddy infant lies on a patterned sheet with his eyes closed , his mouth open , and his arm extended .",0.3091966825883714
a man in a white shirt uses a blackboard as others sit at a table watching .,0.3091966825883714
a man rowing in the front of a canoe in a large body of water .,2.1165055361657234e-06
a korean woman is enjoying a meal in a restaurant .,2.1165055361657234e-06
a man grilling meat on an outdoor grilling pit .,0.8325546099361183
two girls and three boys are presenting in front of a dry erase board .,2.1165055361657234e-06
asian students are examining sheets of paper while standing in line .,2.1165055361657234e-06
a man in a dark shirt is making a presentation in front of a group .,0.3091966825883714
four people in black shirts giving a presentation to a room full of people using a big projector image on the wall .,0.3091966825883714
two women in black enjoying a lunch in a restaurant .,2.1165055361657234e-06
a boy and girl child swing together on a swing set .,0.36373633908978487
an older man and women are using computers in a sort of storage room .,0.3091966825883714
three girls or friends having drinks at a bar laughing .,2.1165055361657234e-06
a well dressed young woman waits on a bench for the train while a man busy writing something waits nearby .,0.06490450713150285
buff african american man waits for subway at wall street station .,0.3091966825883714
a man in a suit and tie in a fancy building is speaking at the podium .,0.3091966825883714
"people swing on a red , metal amusement park ride in front of some trees .",2.1165055361657234e-06
a man is using his computer while seated at a desk .,0.8325546103252176
a man and woman enjoying dinner at a party .,0.6424372742994602
a group of people lie close together on a hardwood floor .,2.1165055361657234e-06
"an impoverished person , wearing a torn brown shirt and no shoes , is kneeling down along the banks of a trash infested body of water .",2.1165055361657234e-06
a woman with a peace symbol on her shirt grills vegetables,0.6424372740812075
a man grilling three pieces of salmon outside .,0.4509923777885705
