,Input.sentence,A176JUTGNWG7QJ,A17EZEAMF37MGQ,A2SMHEGRLML092,A2ZY94PZ5CVH0
0,"""a crowd waits outside a subway train , ready to board .""",outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,indoors/man-made/transportation_urban,indoors/man-made/transportation_urban
1,"""a crowd waits, ready to board .""",outdoors/man-made/transportation_urban,outdoors/natural/body_of_water,indoors/man-made/transportation_urban,indoors/man-made/transportation_urban
2,"""a man driving a small , open vehicle with a green sign .""",outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,indoors/man-made/transportation_urban
3,"""a man driving a small , open vehicle with a green sign on the back of it in traffic .""",outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban
4,"""a man in a blue swimsuit and a red beanie kneels in the wet sand on the edge of a beach , making a sand castle that is as tall as he is when he is kneeling .""",outdoors/natural/body_of_water,outdoors/natural/body_of_water,outdoors/natural/body_of_water,outdoors/natural/body_of_water
5,"""a man wearing jeans , polo shirt and a baseball cap , fork , is grilling meat .""",outdoors/natural/other_unclear,indoors/man-made/domestic,outdoors/man-made/domestic,outdoors/man-made/other_unclear
6,"""a man wearing jeans , polo shirt and a baseball cap , fork in hand , is grilling meat outside in a fenced yard .""",outdoors/man-made/domestic,outdoors/man-made/domestic,outdoors/man-made/domestic,outdoors/man-made/recreation
7,"""a ruddy infant lies on a patterned sheet with his eyes closed , his mouth open , and his arm extended .""",indoors/man-made/domestic,indoors/man-made/domestic,indoors/man-made/domestic,indoors/man-made/other_unclear
8,"""a ruddy infant lies with his eyes closed , his mouth open , and his arm extended .""",indoors/man-made/recreation,indoors/man-made/domestic,indoors/man-made/domestic,indoors/man-made/other_unclear
9,"""an impoverished person , wearing a torn brown shirt and no shoes , is kneeling down .""",outdoors/man-made/transportation_urban,outdoors/natural/other_unclear,outdoors/man-made/transportation_urban,outdoors/man-made/other_unclear
10,"""an impoverished person , wearing a torn brown shirt and no shoes , is kneeling down along the banks of a trash infested body of water .""",outdoors/natural/body_of_water,outdoors/natural/body_of_water,outdoors/natural/body_of_water,outdoors/natural/body_of_water
11,"""four young adults sit outside on a wooden deck near a building around a small round table , while another person stands on the edge of the deck , leaning on the wooden railing , with the sun shining on one of them and the rest of them are in the shade , two of them crossing their legs , one holding a cellphone out in front of himself and another holding a green and red soda can .""",outdoors/man-made/recreation,outdoors/man-made/transportation_urban,outdoors/man-made/domestic,outdoors/man-made/domestic
12,"""in a restaurant , a teenager drinks directly out of the metal milkshake serving cup .""",indoors/man-made/restaurant,indoors/man-made/restaurant,indoors/man-made/restaurant,indoors/man-made/restaurant
13,"""people swing on a red , metal amusement park ride in front of some trees .""",outdoors/man-made/recreation,outdoors/man-made/recreation,outdoors/man-made/recreation,outdoors/man-made/recreation
14,"""people swing on a red , metal amusement park ride.""",outdoors/man-made/recreation,outdoors/man-made/recreation,outdoors/man-made/recreation,outdoors/man-made/recreation
15,"""person leaning against the wall , next to a life size cartoon cut out .""",indoors/man-made/other_unclear,outdoors/man-made/transportation_urban,indoors/man-made/domestic,outdoors/man-made/other_unclear
16,"""several people in the mid-ground sit on a bench along the side of a white building , while three people stand in a courtyard in front of the building .""",outdoors/man-made/other_unclear,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban
17,"""three children are playing outdoors , two of them on a metal barrel swing .""",outdoors/man-made/recreation,outdoors/man-made/other_unclear,outdoors/man-made/recreation,outdoors/man-made/recreation
18,"""two girls , both dressed in pink , swinging on sunlight day with the nearby trees casting random shadows on the remainder of the park like setting .""",outdoors/man-made/recreation,outdoors/natural/field_forest,outdoors/man-made/recreation,outdoors/man-made/recreation
19,"""two girls , both dressed in pink , swinging on sunlight day with the trees casting random shadows on the remainder of the park like setting .""",outdoors/man-made/recreation,outdoors/natural/field_forest,outdoors/man-made/recreation,outdoors/man-made/recreation
20,Kids play,outdoors/man-made/recreation,outdoors/natural/other_unclear,outdoors/man-made/recreation,outdoors/man-made/other_unclear
21,Person leaning,outdoors/man-made/recreation,outdoors/natural/other_unclear,indoors/man-made/other_unclear,outdoors/man-made/other_unclear
22,The brown dog catches a ball.,outdoors/natural/field_forest,outdoors/natural/other_unclear,outdoors/man-made/domestic,outdoors/man-made/other_unclear
23,a black and white dog runs beside a brown dog in a green field .,outdoors/natural/field_forest,outdoors/natural/field_forest,outdoors/natural/field_forest,outdoors/natural/field_forest
24,a black and white dog runs.,outdoors/man-made/transportation_urban,outdoors/natural/field_forest,outdoors/man-made/recreation,outdoors/man-made/other_unclear
25,a black dog runs on green grass with its mouth open .,outdoors/man-made/recreation,outdoors/natural/field_forest,outdoors/man-made/recreation,outdoors/natural/field_forest
26,a black dog runs with his mouth open,outdoors/natural/other_unclear,outdoors/natural/other_unclear,outdoors/man-made/recreation,outdoors/natural/field_forest
27,a blond dog and a black and white dog run,outdoors/natural/field_forest,outdoors/natural/field_forest,outdoors/natural/field_forest,outdoors/man-made/other_unclear
28,a blond dog and a black and white dog run in a dirt field .,outdoors/natural/field_forest,outdoors/natural/field_forest,outdoors/natural/field_forest,outdoors/natural/field_forest
29,a boy and girl child swing together .,outdoors/man-made/recreation,outdoors/man-made/recreation,outdoors/man-made/recreation,outdoors/man-made/recreation
30,a boy and girl child swing together on a swing set .,outdoors/man-made/recreation,outdoors/man-made/recreation,outdoors/man-made/recreation,outdoors/man-made/recreation
31,a brown dog running,outdoors/natural/field_forest,indoors/man-made/other_unclear,outdoors/man-made/recreation,outdoors/man-made/other_unclear
32,a brown dog running on a lawn near a garden hose,outdoors/man-made/domestic,indoors/man-made/domestic,outdoors/man-made/domestic,outdoors/natural/field_forest
33,a chef speaks into a microphone about a mixed salad contained .,indoors/man-made/restaurant,indoors/man-made/restaurant,indoors/man-made/restaurant,indoors/man-made/other_unclear
34,a chef speaks into a microphone about a mixed salad contained in a bowl with a decorative lid .,indoors/man-made/restaurant,indoors/man-made/restaurant,indoors/man-made/restaurant,indoors/man-made/other_unclear
35,a child in a dress runs through the yard with a miniature orange soccer ball in her hand .,outdoors/man-made/domestic,indoors/man-made/domestic,outdoors/man-made/domestic,outdoors/man-made/recreation
36,a child in a dress runs with a miniature orange soccer ball .,outdoors/man-made/recreation,indoors/man-made/recreation,outdoors/man-made/recreation,outdoors/natural/other_unclear
37,a dark-haired dark-skinned child sleeps in a chair while holding a blue zippered pack .,indoors/man-made/work_education,indoors/man-made/domestic,indoors/man-made/work_education,indoors/man-made/other_unclear
38,a dark-haired dark-skinned child sleeps while holding a blue zippered pack .,indoors/man-made/work_education,outdoors/natural/other_unclear,indoors/man-made/work_education,indoors/man-made/other_unclear
39,a dark-haired man is speaking into a microphone while another man is sitting .,indoors/man-made/recreation,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/other_unclear
40,a dark-haired man is speaking into a microphone while another man is sitting beside him .,indoors/man-made/recreation,outdoors/natural/other_unclear,indoors/man-made/work_education,indoors/man-made/other_unclear
41,a dog wearing a t-shirt is lying down .,indoors/man-made/transportation_urban,indoors/man-made/domestic,indoors/man-made/domestic,indoors/man-made/other_unclear
42,a dog wearing a t-shirt is lying.,indoors/man-made/recreation,outdoors/natural/other_unclear,indoors/man-made/other_unclear,indoors/man-made/other_unclear
43,a gray dog is jumping toward a black and white dog in the snow .,outdoors/man-made/recreation,outdoors/natural/mountain,outdoors/man-made/domestic,outdoors/natural/other_unclear
44,a gray dog is jumping toward a black and white dog.,outdoors/natural/field_forest,outdoors/natural/other_unclear,outdoors/man-made/recreation,outdoors/man-made/other_unclear
45,a greyhound races on the dirt .,outdoors/natural/field_forest,outdoors/natural/other_unclear,outdoors/man-made/recreation,outdoors/man-made/recreation
46,a greyhound races.,outdoors/man-made/transportation_urban,indoors/man-made/recreation,outdoors/man-made/recreation,outdoors/man-made/recreation
47,a group of men in golden shirts singing in front of a microphone .,indoors/man-made/recreation,indoors/man-made/recreation,indoors/man-made/recreation,indoors/man-made/other_unclear
48,a group of men in golden shirts singing.,indoors/man-made/recreation,outdoors/natural/other_unclear,indoors/man-made/recreation,indoors/man-made/other_unclear
49,a group of people lie close together on a hardwood floor .,indoors/man-made/domestic,indoors/man-made/domestic,indoors/man-made/domestic,indoors/man-made/domestic
50,a group of people lie close together.,indoors/man-made/recreation,indoors/man-made/domestic,indoors/man-made/other_unclear,indoors/man-made/other_unclear
51,a handicapped person with one leg skiing down a mountain with other mountains in the background .,outdoors/natural/mountain,outdoors/natural/mountain,outdoors/natural/mountain,outdoors/natural/mountain
52,a handicapped person with one leg skiing down with other mountains .,outdoors/natural/mountain,outdoors/natural/mountain,outdoors/natural/mountain,outdoors/natural/mountain
53,a korean woman is enjoying a meal in a restaurant .,indoors/man-made/restaurant,indoors/man-made/restaurant,indoors/man-made/restaurant,indoors/man-made/restaurant
54,a korean woman is enjoying a meal.,indoors/man-made/restaurant,indoors/man-made/restaurant,indoors/man-made/domestic,indoors/man-made/other_unclear
55,a lady with short hair wearing a black jacket leaned .,outdoors/man-made/work_education,outdoors/man-made/other_unclear,indoors/man-made/work_education,indoors/man-made/other_unclear
56,a lady with short hair wearing a black jacket leaned against a lamp post outside a building .,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban
57,a little boy playing in the water .,outdoors/natural/body_of_water,outdoors/natural/body_of_water,outdoors/natural/body_of_water,outdoors/natural/body_of_water
58,a little boy playing.,indoors/man-made/recreation,outdoors/natural/other_unclear,outdoors/man-made/domestic,indoors/man-made/other_unclear
59,a lively adult karate practice,indoors/man-made/recreation,indoors/man-made/other_unclear,indoors/man-made/recreation,indoors/man-made/other_unclear
60,a lively adult karate practice at the dojo .,indoors/man-made/recreation,indoors/man-made/recreation,indoors/man-made/recreation,indoors/man-made/recreation
61,a man and a woman are examining produce at a market .,indoors/man-made/work_education,outdoors/man-made/work_education,outdoors/man-made/work_education,outdoors/man-made/work_education
62,a man and a woman are examining produce.,indoors/man-made/work_education,outdoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education
63,a man and woman enjoying dinner at a party .,indoors/man-made/restaurant,indoors/man-made/restaurant,indoors/man-made/domestic,indoors/man-made/other_unclear
64,a man and woman enjoying dinner.,indoors/man-made/restaurant,indoors/man-made/restaurant,indoors/man-made/restaurant,indoors/man-made/other_unclear
65,a man drives a truck while a child sits and steers .,indoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,indoors/man-made/transportation_urban,indoors/man-made/transportation_urban
66,a man drives a truck while a child sits on his lap and steers .,indoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,indoors/man-made/transportation_urban,indoors/man-made/transportation_urban
67,a man driving a small golf cart down a street with a crowd watching him on either side of the street .,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban
68,a man driving a small golf cart with a crowd watching.,outdoors/man-made/recreation,outdoors/natural/field_forest,outdoors/man-made/recreation,outdoors/man-made/transportation_urban
69,a man grilling,outdoors/man-made/domestic,outdoors/man-made/domestic,outdoors/man-made/domestic,outdoors/man-made/other_unclear
70,a man grilling meat on an outdoor grilling pit .,outdoors/man-made/domestic,indoors/man-made/recreation,outdoors/man-made/domestic,outdoors/man-made/other_unclear
71,a man grilling meat.,outdoors/man-made/domestic,outdoors/man-made/domestic,outdoors/man-made/domestic,outdoors/man-made/domestic
72,a man grilling outside his house .,outdoors/man-made/domestic,outdoors/man-made/domestic,outdoors/man-made/domestic,outdoors/man-made/domestic
73,a man grilling three pieces of salmon outside .,outdoors/man-made/domestic,outdoors/man-made/domestic,outdoors/man-made/domestic,outdoors/man-made/other_unclear
74,a man grilling three pieces of salmon.,indoors/man-made/restaurant,outdoors/man-made/domestic,outdoors/man-made/domestic,outdoors/man-made/other_unclear
75,a man in a black shirt sitting,outdoors/man-made/recreation,outdoors/natural/other_unclear,indoors/man-made/other_unclear,indoors/man-made/other_unclear
76,a man in a black shirt sitting next to a older women in a pink jacket on a train .,indoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,indoors/man-made/transportation_urban,indoors/man-made/transportation_urban
77,a man in a blue swimsuit and a red beanie kneels making a sand castle that is as tall as he is when he is kneeling .,outdoors/natural/body_of_water,outdoors/natural/body_of_water,outdoors/natural/body_of_water,outdoors/natural/body_of_water
78,a man in a dark shirt is making a presentation in front of a group .,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/other_unclear
79,a man in a dark shirt is making a presentation.,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/other_unclear
80,a man in a suit and tie in a fancy building is speaking at the podium .,indoors/man-made/other_unclear,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education
81,a man in a suit and tie is speaking.,indoors/man-made/recreation,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/other_unclear
82,"a man in a white polo shirt speaks into a microphone with a sign behind him that reads , "" truth ! """,outdoors/man-made/recreation,outdoors/natural/other_unclear,outdoors/man-made/transportation_urban,outdoors/man-made/other_unclear
83,"a man in a white polo shirt speaks with a sign that reads , "" truth ! """,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/other_unclear
84,a man in a white shirt uses a blackboard as others sit at a table watching .,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/other_unclear
85,a man in a white shirt uses a blackboard as others sit watching .,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education
86,a man in a yellow jacket is skiing in the snow .,outdoors/natural/mountain,outdoors/natural/mountain,outdoors/natural/mountain,outdoors/natural/mountain
87,a man in a yellow jacket is skiing.,outdoors/natural/mountain,outdoors/natural/mountain,outdoors/natural/mountain,outdoors/natural/mountain
88,a man in red shirt wearing sunglasses is leaning,indoors/man-made/transportation_urban,outdoors/natural/other_unclear,outdoors/man-made/transportation_urban,outdoors/man-made/other_unclear
89,a man in red shirt wearing sunglasses is leaning on the wall,outdoors/man-made/work_education,outdoors/man-made/other_unclear,indoors/man-made/other_unclear,outdoors/man-made/other_unclear
90,a man is enjoying meal and drink .,indoors/man-made/restaurant,outdoors/natural/other_unclear,indoors/man-made/restaurant,indoors/man-made/other_unclear
91,a man is enjoying meal and drink inside a restaurant .,indoors/man-made/restaurant,indoors/man-made/restaurant,indoors/man-made/restaurant,indoors/man-made/restaurant
92,a man is giving a presentation in front of three people .,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/other_unclear
93,a man is giving a presentation.,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/other_unclear
94,a man is kneeling down with a child,outdoors/man-made/transportation_urban,outdoors/natural/other_unclear,indoors/man-made/other_unclear,indoors/man-made/other_unclear
95,a man is kneeling down with a child on a beach where bright blue and red boats are stationed in the background .,outdoors/natural/body_of_water,outdoors/natural/body_of_water,outdoors/natural/body_of_water,outdoors/natural/body_of_water
96,a man is rowing a canoe on a lake .,outdoors/natural/body_of_water,outdoors/natural/body_of_water,outdoors/natural/body_of_water,outdoors/natural/body_of_water
97,a man is rowing a canoe.,outdoors/natural/body_of_water,outdoors/natural/body_of_water,outdoors/natural/body_of_water,outdoors/natural/body_of_water
98,a man is singing at a concert .,outdoors/man-made/recreation,indoors/man-made/recreation,indoors/man-made/recreation,outdoors/man-made/recreation
99,a man is singing.,indoors/man-made/recreation,outdoors/natural/other_unclear,indoors/man-made/recreation,indoors/man-made/other_unclear
100,a man is sitting on the street playing drums on buckets .,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban
101,a man is sitting playing drums on buckets .,outdoors/man-made/transportation_urban,indoors/man-made/recreation,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban
102,a man is using his computer while seated at a desk .,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/other_unclear
103,a man is using his computer while seated.,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/other_unclear
104,a man perched is using a net to scoop a fish from another aquarium .,indoors/man-made/recreation,indoors/man-made/recreation,indoors/man-made/work_education,indoors/man-made/other_unclear
105,a man perched on a row of aquariums is using a net to scoop a fish from another aquarium .,indoors/man-made/recreation,indoors/man-made/recreation,indoors/man-made/work_education,indoors/man-made/other_unclear
106,a man rowing in the front of a canoe in a large body of water .,outdoors/natural/body_of_water,outdoors/natural/body_of_water,outdoors/natural/body_of_water,outdoors/natural/body_of_water
107,a man rowing.,outdoors/natural/body_of_water,outdoors/natural/body_of_water,outdoors/natural/body_of_water,outdoors/natural/body_of_water
108,a man rows his boat .,outdoors/natural/body_of_water,outdoors/natural/body_of_water,outdoors/natural/body_of_water,outdoors/natural/body_of_water
109,a man rows his boat below .,outdoors/natural/body_of_water,outdoors/natural/body_of_water,outdoors/natural/body_of_water,outdoors/natural/body_of_water
110,a man singing in a very colorful environment .,outdoors/natural/field_forest,outdoors/natural/other_unclear,indoors/man-made/recreation,indoors/man-made/restaurant
111,a man singing.,indoors/man-made/recreation,indoors/man-made/other_unclear,indoors/man-made/recreation,indoors/man-made/other_unclear
112,a man sleeps while listening to his ipod in the back of a vehicle .,indoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,indoors/man-made/transportation_urban,indoors/man-made/transportation_urban
113,a man sleeps while listening to his ipod.,indoors/man-made/domestic,indoors/man-made/domestic,indoors/man-made/domestic,indoors/man-made/domestic
114,a man wearing yellow swimming trunks kneeling,outdoors/man-made/recreation,outdoors/natural/body_of_water,outdoors/man-made/recreation,outdoors/man-made/other_unclear
115,a man wearing yellow swimming trunks kneeling by the ocean,outdoors/natural/body_of_water,outdoors/natural/body_of_water,outdoors/natural/body_of_water,outdoors/natural/body_of_water
116,a man with red pants is skiing .,outdoors/natural/mountain,outdoors/natural/mountain,outdoors/natural/mountain,outdoors/natural/mountain
117,a man with red pants is skiing downhill .,outdoors/natural/mountain,outdoors/natural/mountain,outdoors/natural/mountain,outdoors/natural/mountain
118,a motorcyclist on a red speed bike leans .,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban
119,a motorcyclist on a red speed bike leans into a sharp turn .,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban
120,a person dressed in a tan jacket jumps a quad over a harvested cornfield,outdoors/natural/field_forest,outdoors/natural/field_forest,outdoors/man-made/work_education,outdoors/natural/field_forest
121,a person dressed in a tan jacket jumps a quad over a harvested cornfield in front of a small out building .,outdoors/man-made/work_education,outdoors/man-made/transportation_urban,outdoors/man-made/work_education,outdoors/man-made/work_education
122,a person drives around a futuristic looking vehicle while a man approaches and a crowd watches .,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban
123,a person drives around a futuristic looking vehicle while a man approaches her and a crowd watches .,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban
124,a person wearing a construction uniform is leaning against a traffic light pole on the sidewalk .,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban
125,a person wearing a construction uniform is leaning.,outdoors/man-made/transportation_urban,outdoors/man-made/work_education,outdoors/man-made/transportation_urban,outdoors/man-made/other_unclear
126,a red dog jumps to catch a tennis ball .,outdoors/man-made/recreation,outdoors/natural/field_forest,outdoors/man-made/recreation,outdoors/natural/other_unclear
127,a red dog jumps to catch a tennis ball in the dry tall grass .,outdoors/natural/field_forest,outdoors/natural/field_forest,outdoors/natural/field_forest,outdoors/natural/field_forest
128,a runner in black is passing a florist shop .,outdoors/man-made/transportation_urban,outdoors/man-made/work_education,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban
129,a runner in black is passing an outdoor florist shop .,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban
