sentence,q1,q2,q3,q4,img_file
a lady wearing a green shirt stands on the window seal of a brick building as a young boy watches on .,outdoors,man-made,domestic,NA,1230594535.jpg
an asian family is picnicking at the beach while others play in the water .,outdoors,natural,NA,body_of_water,1235455146.jpg
a dog is wearing a red number <number> and running through a field of green grass while being chased by a bird .,outdoors,natural,NA,field_forest,1240297429.jpg
"a group of <number> smiling kids and young teens are divided into two groups , in a large , indoor swimming pool , with the back person in each group holding their arms up .",indoors,man-made,recreation,NA,1242603438.jpg
six people ride mountain bikes through a jungle environment .,outdoors,natural,NA,field_forest,1250181412.jpg
a girl wearing a pink shirt and overalls is smiling and there is another child that is out of focus .,outdoors,man-made,recreation,NA,1253264731.jpg
a small child in water with a splash encircling him while the white clouds float over the mountains .,outdoors,natural,NA,body_of_water,1255504166.jpg
two young boys in swimming trunks are in the water looking at each other .,outdoors,natural,NA,body_of_water,1255599434.jpg
"three children are playing outdoors , two of them on a metal barrel swing .",outdoors,man-made,recreation,NA,125635185.jpg
there are about a dozen of men in work clothes that are getting directions for a task .,outdoors,natural,NA,field_forest,1259627071.jpg
"three dogs on the beach , one has it 's mouth open .",outdoors,natural,NA,body_of_water,1260501563.jpg
"a young musician playing a small guitar and singing , while sitting in a white plastic chair .",outdoors,man-made,other_unclear,NA,1262720546.jpg
the girl with the long brown hair and bangs in her face is holding her hand to her chest .,outdoors,man-made,transportation_urban,NA,1265343716.jpg
a black and white dog walking through the grass with a long stick in his mouth .,outdoors,natural,NA,field_forest,1267711451.jpg
bald man in what looks like to be a lab with a lady watching as he is mixing some liquids in clear cup containers,indoors,man-made,work_education,NA,126772535.jpg
a young bearded man in a gray hooded sweatshirt stirs a pot with a wooden spoon .,indoors,man-made,domestic,NA,126823727.jpg
a woman wearing a blue sweater sits at a table with a colorful tablecloth and clasps her hands together .,indoors,man-made,domestic,NA,126824259.jpg
woman adjusting her boot near a large crowd of people at an outdoor event .,outdoors,man-made,recreation,NA,1269844288.jpg
a casually dressed man has several flutes into which he is pouring champagne .,indoors,man-made,domestic,NA,1271579512.jpg
"a boy in a gray hooded sweater , looking at a school of fish at an aquarium .",indoors,man-made,recreation,NA,127449574.jpg
crosscountry skiers are traveling towards the mountains at sunset .,outdoors,natural,NA,mountain,127450902.jpg
the person towards the right is wearing riot uniform while people seem to be filing out .,outdoors,man-made,transportation_urban,NA,1275832390.jpg
a tall gray pole behind which a person wearing an orange shirt is perched on the wall and hiding his or her face with one hand .,outdoors,man-made,transportation_urban,NA,1277949368.jpg
a man in traditional orthodox jewish dress is seen alone from behind .,outdoors,man-made,transportation_urban,NA,1278589645.jpg
an african child attempts a headstand on the front of a boat painted blue and white in water next to a field of crops .,outdoors,natural,NA,body_of_water,128097991.jpg
some young men looking over the edge of a bridge on a sunny day .,outdoors,natural,NA,body_of_water,1281282435.jpg
there are several people and children looking into water with a blue tiled floor and goldfish .,outdoors,man-made,recreation,NA,12830823.jpg
"there is a man wearing construction gear , standing next to a bulldozer that is picking up rubble and debris .",outdoors,man-made,domestic,NA,1283466.jpg
two people with helmets are riding bikes in front of a building .,outdoors,man-made,transportation_urban,NA,128395625.jpg
a couple enjoy a beautiful day bicycling on a bike trail wearing bicycling safety helmets and gloves .,outdoors,man-made,transportation_urban,NA,128396110.jpg
two little boys in yellow shirts are walking in grass and looking behind them .,outdoors,natural,NA,field_forest,128404184.jpg
"a young girl in a black shirt and a blue helmet is sitting on a quad , or four wheeler , with her right hand on the handlebars .",outdoors,natural,NA,field_forest,128479785.jpg
two little blond girls in helmets are sitting on a red atv .,outdoors,man-made,domestic,NA,128479788.jpg
a husky dog wearing green straps is turning its head away from the object in front of it .,outdoors,natural,NA,mountain,1287064529.jpg
a cartoon cutout of snow white is standing in front of a store display window while a woman in a large hat is standing cross legged at the door .,outdoors,man-made,transportation_urban,NA,128706814.jpg
"five sled dogs are pulling a person on a sled , through the snow .",outdoors,natural,NA,field_forest,1287073593.jpg
"a lady standing wearing black and has a black mohawk has her arm around a guy with a brown bucket hat , green cargo pants and black shirt .",outdoors,man-made,recreation,NA,1287768104.jpg
a dog takes a leap of faith as he jumps into a pool to grab an orange toy .,outdoors,man-made,recreation,NA,1288909046.jpg
"a man and a woman are at a beach with other people nearby , and the woman is touching the man 's face .",outdoors,natural,NA,body_of_water,1289352588.jpg
a young child in pink is pushing downed leaves as grass into a pile .,outdoors,man-made,transportation_urban,NA,1289625678.jpg
"woman in a green and white striped shit lying in a chair with a yellow bag , holding a folded piece of paper .",indoors,man-made,work_education,NA,1289951084.jpg
a female swimmer in a black bathing suit about to jump off the racing platform into a pool .,outdoors,man-made,recreation,NA,12904242.jpg
two swimmers race in a pool with a red line between them .,outdoors,man-made,recreation,NA,12904363.jpg
a man in a dirty hat and sweater works on a remodeling project .,indoors,man-made,other_unclear,NA,129269068.jpg
"a man dressed in white overalls with a red cap , juggling a green ball and flaming torch , in front of a crowd of onlookers .",outdoors,man-made,transportation_urban,NA,1294431829.jpg
a woman drinking an iced beverage through a straw in a dimly lit room .,indoors,man-made,other_unclear,NA,1294940311.jpg
"a man carrying a musical instrument and wearing a gray jacket , purple hat and purple scarf examines some money as he stands near a worn utility pole .",outdoors,man-made,transportation_urban,NA,129528391.jpg
a female harp player peers through the middle of her instrument while performing .,outdoors,man-made,other_unclear,NA,1295476404.jpg
a child in a black cape is being chased by other children .,outdoors,man-made,transportation_urban,NA,1295719054.jpg
a man sitting at a table wears a red sweater while two glasses of water rest on the table ; one glass is half empty .,indoors,man-made,restaurant,NA,129602216.jpg
a man is standing in a forest practicing a martial art .,outdoors,man-made,recreation,NA,129981966.jpg