caption,url,probs
a person drives around a futuristic looking vehicle while a man approaches her and a crowd watches .,https://derrickversion5.s3.amazonaws.com/flux_original/00000-42.png,"[4, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a brown dog running on a lawn near a garden hose,https://derrickversion5.s3.amazonaws.com/flux_original/00001-42.png,"[0, 2, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0]"
a child in a dress runs through the yard with a miniature orange soccer ball in her hand .,https://derrickversion5.s3.amazonaws.com/flux_original/00002-42.png,"[0, 4, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
a woman sleeps under a blue and white blanket in a car .,https://derrickversion5.s3.amazonaws.com/flux_original/00003-42.png,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0]"
a man is kneeling down with a child on a beach where bright blue and red boats are stationed in the background .,https://derrickversion5.s3.amazonaws.com/flux_original/00004-42.png,"[0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
men playing volleyball in the sand .,https://derrickversion5.s3.amazonaws.com/flux_original/00005-42.png,"[0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a little boy playing in the water .,https://derrickversion5.s3.amazonaws.com/flux_original/00006-42.png,"[0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a blond dog and a black and white dog run in a dirt field .,https://derrickversion5.s3.amazonaws.com/flux_original/00007-42.png,"[0, 0, 0, 0, 4, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0]"
a person dressed in a tan jacket jumps a quad over a harvested cornfield in front of a small out building .,https://derrickversion5.s3.amazonaws.com/flux_original/00008-42.png,"[0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 4, 0, 0, 0, 0, 0]"
girl wearing blue shirt and black shorts plays trumped outside .,https://derrickversion5.s3.amazonaws.com/flux_original/00009-42.png,"[0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
kids play around a statue bust outside .,https://derrickversion5.s3.amazonaws.com/flux_original/00010-42.png,"[0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a woman is drinking a beverage in a busy cafe .,https://derrickversion5.s3.amazonaws.com/flux_original/00011-42.png,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0]"
"three children are playing outdoors , two of them on a metal barrel swing .",https://derrickversion5.s3.amazonaws.com/flux_original/00012-42.png,"[0, 4, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
two children swing in dusty rooftop from a swing made from a steel drum .,https://derrickversion5.s3.amazonaws.com/flux_original/00013-42.png,"[4, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0]"
"person leaning against the wall , next to a life size cartoon cut out .",https://derrickversion5.s3.amazonaws.com/flux_original/00014-42.png,"[0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
two swimmers race in a pool with a red line between them .,https://derrickversion5.s3.amazonaws.com/flux_original/00015-42.png,"[0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
an older couple passes by a young lady on the sidewalk .,https://derrickversion5.s3.amazonaws.com/flux_original/00016-42.png,"[8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
three children are practicing martial arts in a gym .,https://derrickversion5.s3.amazonaws.com/flux_original/00017-42.png,"[0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a lady with short hair wearing a black jacket leaned against a lamp post outside a building .,https://derrickversion5.s3.amazonaws.com/flux_original/00018-42.png,"[8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a man perched on a row of aquariums is using a net to scoop a fish from another aquarium .,https://derrickversion5.s3.amazonaws.com/flux_original/00019-42.png,"[0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
a dark-haired man is speaking into a microphone while another man is sitting beside him .,https://derrickversion5.s3.amazonaws.com/flux_original/00020-42.png,"[0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
people pass each other on a busy city street while talking on their cellphones .,https://derrickversion5.s3.amazonaws.com/flux_original/00021-42.png,"[8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
person with two ski poles skiing down a snowy hill .,https://derrickversion5.s3.amazonaws.com/flux_original/00022-42.png,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0]"
"a man in a blue swimsuit and a red beanie kneels in the wet sand on the edge of a beach , making a sand castle that is as tall as he is when he is kneeling .",https://derrickversion5.s3.amazonaws.com/flux_original/00023-42.png,"[0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a black dog runs on green grass with its mouth open .,https://derrickversion5.s3.amazonaws.com/flux_original/00024-42.png,"[0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
decorated limo passing by elderly woman waiting on park bench in chinese street .,https://derrickversion5.s3.amazonaws.com/flux_original/00025-42.png,"[8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
three people in various stages of swimming strokes race along colorful lane markers .,https://derrickversion5.s3.amazonaws.com/flux_original/00026-42.png,"[0, 2, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
one dog is jumping at the lady while the other walks away .,https://derrickversion5.s3.amazonaws.com/flux_original/00027-42.png,"[0, 2, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a motorcyclist on a red speed bike leans into a sharp turn .,https://derrickversion5.s3.amazonaws.com/flux_original/00028-42.png,"[8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a man is sitting on the street playing drums on buckets .,https://derrickversion5.s3.amazonaws.com/flux_original/00029-42.png,"[8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a lively adult karate practice at the dojo .,https://derrickversion5.s3.amazonaws.com/flux_original/00030-42.png,"[0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a red dog jumps to catch a tennis ball in the dry tall grass .,https://derrickversion5.s3.amazonaws.com/flux_original/00031-42.png,"[0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
the brown dog catches a ball in the air .,https://derrickversion5.s3.amazonaws.com/flux_original/00032-42.png,"[0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
the little girl swings in the backyard .,https://derrickversion5.s3.amazonaws.com/flux_original/00033-42.png,"[0, 2, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0]"
"four young adults sit outside on a wooden deck near a building around a small round table , while another person stands on the edge of the deck , leaning on the wooden railing , with the sun shining on one of them and the rest of them are in the shade , two of them crossing their legs , one holding a cellphone out in front of himself and another holding a green and red soda can .",https://derrickversion5.s3.amazonaws.com/flux_original/00034-42.png,"[0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0]"
a woman is having her foot examined by another woman in a run-down building .,https://derrickversion5.s3.amazonaws.com/flux_original/00035-42.png,"[0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a woman is holding a baby while another child stands by her side .,https://derrickversion5.s3.amazonaws.com/flux_original/00036-42.png,"[2, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0]"
a gray dog is jumping toward a black and white dog in the snow .,https://derrickversion5.s3.amazonaws.com/flux_original/00037-42.png,"[0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
a black and white dog runs beside a brown dog in a green field .,https://derrickversion5.s3.amazonaws.com/flux_original/00038-42.png,"[0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a dark-haired dark-skinned child sleeps in a chair while holding a blue zippered pack .,https://derrickversion5.s3.amazonaws.com/flux_original/00039-42.png,"[0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
a man in a black shirt sitting next to a older women in a pink jacket on a train .,https://derrickversion5.s3.amazonaws.com/flux_original/00040-42.png,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0]"
a man grilling outside his house .,https://derrickversion5.s3.amazonaws.com/flux_original/00041-42.png,"[0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0]"
a person wearing a construction uniform is leaning against a traffic light pole on the sidewalk .,https://derrickversion5.s3.amazonaws.com/flux_original/00042-42.png,"[8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a man is rowing a canoe on a lake .,https://derrickversion5.s3.amazonaws.com/flux_original/00043-42.png,"[0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a man in red shirt wearing sunglasses is leaning on the wall,https://derrickversion5.s3.amazonaws.com/flux_original/00044-42.png,"[8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a handicapped person with one leg skiing down a mountain with other mountains in the background .,https://derrickversion5.s3.amazonaws.com/flux_original/00045-42.png,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0]"
a woman is selling vegetables on the street .,https://derrickversion5.s3.amazonaws.com/flux_original/00046-42.png,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0]"
two people are jumping on the side of a road with snow in the background .,https://derrickversion5.s3.amazonaws.com/flux_original/00047-42.png,"[6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]"
street vendors are selling fruits and vegetables in a stand and in large baskets on the ground .,https://derrickversion5.s3.amazonaws.com/flux_original/00048-42.png,"[8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a man rows his boat below .,https://derrickversion5.s3.amazonaws.com/flux_original/00049-42.png,"[0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a terrier mix catches a frisbee in the air .,https://derrickversion5.s3.amazonaws.com/flux_original/00050-42.png,"[0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"a man in a white polo shirt speaks into a microphone with a sign behind him that reads, truth !",https://derrickversion5.s3.amazonaws.com/flux_original/00051-42.png,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 6, 0, 0, 0, 0]"
two young people riding skateboards pass by in the street as a black dog on a red leash stops in a doorway and squats down on the sidewalk .,https://derrickversion5.s3.amazonaws.com/flux_original/00052-42.png,"[8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
crowd waiting on main street subway platform for a train .,https://derrickversion5.s3.amazonaws.com/flux_original/00053-42.png,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0]"
four women are on stage singing .,https://derrickversion5.s3.amazonaws.com/flux_original/00054-42.png,"[0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
two men drink beer at the bar in a restaurant .,https://derrickversion5.s3.amazonaws.com/flux_original/00055-42.png,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0]"
two women in white lab coats examine a dyed area on a cluster of cells using a projector .,https://derrickversion5.s3.amazonaws.com/flux_original/00056-42.png,"[0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
two rows of dance students are practicing ballet moves against a pole in a studio .,https://derrickversion5.s3.amazonaws.com/flux_original/00057-42.png,"[0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
white and black dog jumping over red-haired dog in grass .,https://derrickversion5.s3.amazonaws.com/flux_original/00058-42.png,"[0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a smiling child wearing a hat and sunglasses sits in a car .,https://derrickversion5.s3.amazonaws.com/flux_original/00059-42.png,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0]"
a woman is using a ruler at a desk to mark a sheet of paper .,https://derrickversion5.s3.amazonaws.com/flux_original/00061-42.png,"[0, 0, 0, 0, 0, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
two dogs are catching blue frisbees in grass .,https://derrickversion5.s3.amazonaws.com/flux_original/00062-42.png,"[0, 2, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a man is singing at a concert .,https://derrickversion5.s3.amazonaws.com/flux_original/00063-42.png,"[0, 0, 6, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
three young women and one young man singing in an auditorium .,https://derrickversion5.s3.amazonaws.com/flux_original/00064-42.png,"[0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a group of men in golden shirts singing in front of a microphone .,https://derrickversion5.s3.amazonaws.com/flux_original/00065-42.png,"[0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"a man wearing jeans , polo shirt and a baseball cap , fork in hand , is grilling meat outside in a fenced yard .",https://derrickversion5.s3.amazonaws.com/flux_original/00066-42.png,"[0, 2, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0]"
vendors sell products at a farmers market .,https://derrickversion5.s3.amazonaws.com/flux_original/00067-42.png,"[2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 4, 0, 0, 0, 0, 0]"
people examine books in a library .,https://derrickversion5.s3.amazonaws.com/flux_original/00068-42.png,"[0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a woman sits on a shoe store 's bench while putting a shoe onto her right foot .,https://derrickversion5.s3.amazonaws.com/flux_original/00069-42.png,"[0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"several people in the mid-ground sit on a bench along the side of a white building , while three people stand in a courtyard in front of the building .",https://derrickversion5.s3.amazonaws.com/flux_original/00070-42.png,"[2, 0, 0, 0, 0, 0, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0]"
two girls are in a sack race .,https://derrickversion5.s3.amazonaws.com/flux_original/00071-42.png,"[0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
an orchestra of about <number> people are practicing on the stage of what appears to be an auditorium full of green chairs .,https://derrickversion5.s3.amazonaws.com/flux_original/00072-42.png,"[0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
the man in the red shirt and flowery tie is sitting on a bus by the window .,https://derrickversion5.s3.amazonaws.com/flux_original/00073-42.png,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0]"
muzzled greyhounds are racing on the track .,https://derrickversion5.s3.amazonaws.com/flux_original/00074-42.png,"[0, 6, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
little girl skis on slope .,https://derrickversion5.s3.amazonaws.com/flux_original/00075-42.png,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0]"
"two girls , both dressed in pink , swinging on sunlight day with the nearby trees casting random shadows on the remainder of the park like setting .",https://derrickversion5.s3.amazonaws.com/flux_original/00076-42.png,"[0, 4, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"in a restaurant , a teenager drinks directly out of the metal milkshake serving cup .",https://derrickversion5.s3.amazonaws.com/flux_original/00077-42.png,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0]"
a man is enjoying meal and drink inside a restaurant .,https://derrickversion5.s3.amazonaws.com/flux_original/00078-42.png,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0]"
a man drives a truck while a child sits on his lap and steers .,https://derrickversion5.s3.amazonaws.com/flux_original/00079-42.png,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0]"
an asian man sells a hot confection from his stand in a crowded market .,https://derrickversion5.s3.amazonaws.com/flux_original/00080-42.png,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0]"
a man singing in a very colorful environment .,https://derrickversion5.s3.amazonaws.com/flux_original/00081-42.png,"[0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
people are rowing a boat in the water .,https://derrickversion5.s3.amazonaws.com/flux_original/00082-42.png,"[0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
a man sleeps while listening to his ipod in the back of a vehicle .,https://derrickversion5.s3.amazonaws.com/flux_original/00083-42.png,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0]"
a greyhound races on the dirt .,https://derrickversion5.s3.amazonaws.com/flux_original/00084-42.png,"[0, 4, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
